iter	Passed	Remaining
143	1224	7280
144	1228	7246
145	1233	7213
146	1237	7180
147	1247	7181
148	1255	7171
149	1260	7141
150	1265	7114
151	1275	7115
152	1283	7106
153	1288	7078
154	1293	7050
155	1299	7032
156	1307	7018
157	1311	6989
158	1315	6959
159	1321	6935
160	1327	6916
161	1336	6914
162	1341	6887
163	1345	6859
164	1350	6832
165	1357	6820
166	1365	6812
167	1370	6786
168	1375	6763
169	1379	6737
170	1387	6726
171	1393	6710
172	1399	6690
173	1403	6664
174	1408	6640
175	1417	6634
176	1425	6626
177	1429	6602
178	1435	6582
179	1440	6561
180	1449	6559
181	1455	6542
182	1460	6521
183	1465	6498
184	1470	6477
185	1480	6477
186	1486	6461
187	1490	6437
188	1494	6414
189	1500	6397
190	1509	6393
191	1514	6374
192	1519	6352
193	1523	6330
194	1529	6313
195	1538	6309
196	1543	6289
197	1547	6268
198	1551	6246
199	1557	6228
200	1567	6229
201	1572	6213
202	1577	6193
203	1582	6173
204	1588	6161
205	1596	6153
206	1602	6138
207	1606	6118
208	1612	6103
209	1621	6099
210	1630	6097
211	1635	6080
212	1641	6065
213	1650	6062
214	1657	6052
215	1662	6035
216	1668	6018
217	1672	5999
218	1681	5996
219	1689	5990
220	1694	5971
221	1698	5952
222	1705	5942
223	1715	5943
224	1721	5928
225	1726	5911
226	1730	5893
227	1739	5891
228	1747	5882
229	1751	5864
230	1756	5847
231	1761	5830
232	1770	5828
233	1779	5823
234	1784	5808
235	1788	5791
236	1798	5790
237	1806	5782
238	1810	5764
239	1815	5748
240	1822	5739
241	1831	5735
242	1837	5723
243	1842	5707
244	1846	5690
245	1855	5686
246	1863	5682
247	1868	5665
248	1873	5649
249	1877	5631
250	1887	5631
251	1895	5626
252	1899	5609
253	1904	5592
254	1912	5588
255	1921	5583
256	1926	5569
257	1931	5555
258	1936	5538
259	1947	5543
260	1954	5533
261	1959	5520
262	1964	5506
263	1974	5505
264	1982	5499
265	1987	5483
266	1992	5469
267	2000	5464
268	2009	5461
269	2014	5447
270	2019	5432
271	2024	5419
272	2034	5418
273	2042	5412
274	2047	5397
275	2052	5383
276	2061	5380
277	2069	5374
278	2074	5360
279	2078	5345
280	2087	5341
281	2096	5339
282	2103	5329
283	2107	5314
284	2114	5305
285	2124	5304
286	2132	5297
287	2137	5284
288	2143	5274
289	2152	5270
290	2161	5267
291	2166	5253
292	2171	5240
293	2180	5236
294	2190	5234
295	2194	5220
296	2199	5206
297	2208	5202
298	2218	5201
299	2223	5187
300	2229	5177
301	2240	5177
302	2250	5175
303	2255	5163
304	2260	5150
305	2270	5148
306	2275	5136
307	2279	5121
308	2284	5108
309	2288	5094
310	2299	5093
311	2304	5082
312	2309	5068
313	2313	5054
314	2318	5041
315	2328	5039
316	2334	5029
317	2338	5015
318	2342	5001
319	2347	4988
320	2357	4987
321	2363	4976
322	2367	4963
323	2372	4949
324	2376	4936
325	2386	4934
326	2392	4923
327	2396	4909
328	2400	4896
329	2407	4888
330	2416	4884
331	2421	4871
332	2426	4860
333	2430	4847
334	2436	4837
335	2445	4832
336	2451	4822
337	2455	4810
338	2460	4797
339	2471	4796
340	2478	4790
341	2483	4778
342	2488	4766
343	2493	4755
344	2502	4751
345	2509	4742
346	2513	4730
347	2518	4718
348	2525	4710
349	2533	4705
350	2539	4696
351	2544	4684
352	2549	4672
353	2559	4671
354	2565	4661
355	2570	4649
356	2575	4638
357	2579	4626
358	2586	4618
359	2590	4606
360	2595	4594
361	2600	4582
362	2604	4570
363	2609	4560
364	2617	4554
365	2626	4550
366	2631	4539
367	2636	4527
368	2644	4521
369	2651	4515
370	2658	4506
371	2662	4494
372	2666	4482
373	2676	4480
374	2683	4473
375	2689	4462
376	2693	4451
377	2703	4448
378	2710	4442
379	2717	4433
380	2722	4423
381	2730	4417
382	2738	4412
383	2745	4404
384	2750	4393
385	2754	4381
386	2764	4378
387	2773	4374
388	2778	4364
389	2782	4352
390	2793	4350
391	2800	4343
392	2806	4335
393	2811	4323
394	2820	4319
395	2828	4313
396	2835	4306
397	2840	4296
398	2847	4289
399	2856	4284
400	2864	4278
401	2868	4267
402	2873	4256
403	2882	4252
404	2889	4245
405	2895	4235
406	2900	4225
407	2908	4220
408	2918	4216
409	2925	4209
410	2929	4198
411	2936	4191
412	2944	4185
413	2953	4181
414	2958	4170
415	2966	4164
416	2975	4159
417	2984	4154
418	2988	4143
419	2993	4133
420	3003	4130
421	3011	4124
422	3016	4115
423	3021	4104
424	3031	4101
425	3039	4095
426	3045	4087
427	3050	4076
428	3060	4073
429	3067	4066
430	3073	4057
431	3078	4048
432	3087	4043
433	3095	4036
434	3102	4029
435	3107	4019
436	3116	4014
437	3125	4010
438	3133	4004
439	3138	3994
440	3147	3989
441	3156	3984
442	3163	3977
443	3168	3967
444	3177	3962
445	3185	3956
446	3193	3950
447	3197	3940
448	3207	3935
449	3216	3930
450	3222	3922
451	3227	3912
452	3237	3909
453	3247	3905
454	3254	3898
455	3259	3888
456	3268	3883
457	3275	3875
458	3280	3866
459	3285	3856
460	3292	3849
461	3301	3844
462	3306	3834
463	3311	3824
464	3315	3814
465	3325	3810
466	3334	3805
467	3338	3795
468	3343	3785
469	3349	3777
470	3357	3771
471	3364	3764
472	3369	3754
473	3374	3744
474	3382	3738
475	3389	3731
476	3394	3722
477	3399	3712
478	3403	3702
479	3413	3697
480	3420	3690
481	3425	3681
482	3430	3671
483	3434	3661
484	3443	3656
485	3450	3649
486	3455	3640
487	3459	3630
488	3464	3620
489	3474	3616
490	3481	3609
491	3486	3599
492	3491	3591
493	3502	3587
494	3510	3581
495	3515	3572
496	3520	3562
497	3528	3556
498	3535	3550
499	3540	3540
500	3545	3531
501	3550	3522
502	3559	3516
503	3567	3510
504	3573	3502
505	3578	3493
506	3583	3484
507	3594	3481
508	3602	3474
509	3607	3465
510	3614	3458
511	3624	3454
512	3630	3446
513	3635	3437
514	3639	3427
515	3649	3423
516	3658	3417
517	3662	3408
518	3668	3399
519	3676	3394
520	3684	3387
521	3689	3378
522	3694	3369
523	3699	3360
524	3709	3356
525	3716	3349
526	3721	3340
527	3726	3331
528	3736	3327
529	3744	3320
530	3751	3313
531	3755	3303
532	3762	3296
533	3771	3290
534	3778	3283
535	3783	3274
536	3790	3267
537	3800	3263
538	3808	3257
539	3812	3248
540	3817	3238
541	3827	3234
542	3832	3225
543	3839	3218
544	3844	3209
545	3854	3205
546	3864	3200
547	3869	3191
548	3873	3182
549	3880	3174
550	3888	3168
551	3897	3163
552	3902	3154
553	3908	3146
554	3919	3142
555	3926	3135
556	3931	3126
557	3935	3117
558	3945	3112
559	3953	3106
560	3958	3097
561	3963	3088
562	3972	3083
563	3982	3078
564	3987	3070
565	3992	3061
566	4000	3054
567	4010	3050
568	4017	3043
569	4022	3034
570	4032	3029
571	4041	3023
572	4048	3016
573	4052	3007
574	4060	3000
575	4069	2995
576	4083	2993
577	4094	2989
578	4104	2984
579	4111	2977
580	4116	2968
581	4127	2964
582	4136	2958
583	4140	2949
584	4145	2940
585	4155	2935
586	4163	2929
587	4169	2921
588	4174	2912
589	4182	2906
590	4192	2901
591	4198	2893
592	4203	2885
593	4212	2879
594	4220	2872
595	4229	2866
596	4234	2858
597	4243	2852
598	4252	2846
599	4258	2839
600	4263	2830
601	4275	2826
602	4282	2819
603	4289	2812
604	4293	2803
605	4304	2798
606	4311	2791
607	4316	2782
608	4320	2774
609	4327	2767
610	4336	2760
611	4342	2752
612	4346	2744
613	4351	2735
614	4360	2729
615	4365	2721
616	4372	2714
617	4377	2705
618	4382	2697
619	4391	2691
620	4396	2683
621	4402	2675
622	4407	2666
623	4412	2658
624	4422	2653
625	4429	2646
626	4433	2637
627	4438	2629
628	4448	2623
629	4454	2616
630	4461	2609
631	4466	2600
632	4474	2594
633	4486	2589
634	4490	2581
635	4495	2572
636	4501	2565
637	4511	2559
638	4518	2552
639	4523	2544
640	4528	2536
641	4538	2530
642	4547	2524
643	4552	2516
644	4557	2508
645	4567	2502
646	4573	2495
647	4580	2488
648	4585	2479
649	4595	2474
650	4602	2467
651	4606	2458
652	4612	2450
653	4617	2442
654	4626	2436
655	4633	2429
656	4638	2421
657	4643	2413
658	4651	2406
659	4660	2400
660	4666	2393
661	4672	2385
662	4679	2378
663	4687	2371
664	4694	2365
665	4700	2357
666	4705	2349
667	4714	2343
668	4721	2336
669	4726	2327
670	4730	2319
671	4739	2313
672	4747	2306
673	4754	2299
674	4759	2291
675	4764	2283
676	4775	2278
677	4784	2272
678	4788	2263
679	4793	2255
680	4803	2249
681	4810	2243
682	4815	2235
683	4820	2226
684	4829	2220
685	4838	2214
686	4844	2207
687	4849	2199
688	4858	2192
689	4866	2186
690	4873	2179
691	4878	2171
692	4885	2164
693	4895	2158
694	4902	2151
695	4907	2143
696	4912	2135
697	4921	2129
698	4929	2122
699	4934	2114
700	4939	2106
701	4949	2100
702	4958	2094
703	4964	2087
704	4969	2079
705	4978	2073
706	4987	2066
707	4993	2059
708	4998	2051
709	5006	2045
710	5015	2038
711	5022	2031
712	5027	2023
713	5037	2017
714	5045	2011
715	5052	2004
716	5057	1996
717	5067	1990
718	5076	1983
719	5083	1976
720	5088	1969
721	5098	1963
722	5106	1956
723	5112	1948
724	5116	1940
725	5125	1934
726	5134	1928
727	5141	1921
728	5146	1913
729	5156	1907
730	5165	1900
731	5172	1893
732	5176	1885
733	5186	1879
734	5194	1873
735	5201	1865
736	5206	1857
737	5216	1851
738	5225	1845
739	5232	1838
740	5237	1830
741	5248	1825
742	5258	1818
743	5263	1811
744	5268	1803
745	5278	1797
746	5288	1791
747	5297	1784
748	5307	1778
749	5316	1772
750	5322	1764
751	5328	1757
752	5336	1750
753	5344	1743
754	5352	1736
755	5357	1729
756	5367	1723
757	5373	1715
758	5378	1707
759	5383	1699
760	5387	1692
761	5397	1685
762	5404	1678
763	5409	1671
764	5414	1663
765	5424	1657
766	5432	1650
767	5436	1642
768	5442	1634
769	5448	1627
770	5458	1621
771	5465	1614
772	5470	1606
773	5475	1598
774	5485	1592
775	5492	1585
776	5497	1577
777	5501	1569
778	5510	1563
779	5520	1557
780	5525	1549
781	5530	1541
782	5538	1534
783	5546	1528
784	5553	1521
785	5558	1513
786	5564	1505
787	5572	1499
788	5579	1492
789	5584	1484
790	5589	1476
791	5598	1470
792	5607	1463
793	5613	1456
794	5617	1448
795	5623	1441
796	5630	1434
797	5638	1427
798	5643	1419
799	5647	1411
800	5655	1405
801	5663	1398
802	5670	1391
803	5675	1383
804	5680	1375
805	5688	1369
806	5698	1362
807	5702	1355
808	5708	1347
809	5718	1341
810	5726	1334
811	5731	1326
812	5736	1319
813	5743	1312
814	5755	1306
815	5761	1299
816	5765	1291
817	5773	1284
818	5784	1278
819	5791	1271
820	5795	1263
821	5804	1256
822	5813	1250
823	5820	1243
824	5825	1235
825	5832	1228
826	5842	1222
827	5849	1215
828	5854	1207
829	5859	1200
830	5869	1193
831	5877	1186
832	5882	1179
833	5887	1171
834	5896	1165
835	5904	1158
836	5910	1151
837	5915	1143
838	5924	1136
839	5934	1130
840	5940	1123
841	5944	1115
842	5952	1108
843	5963	1102
844	5970	1095
845	5975	1087
846	5984	1080
847	5993	1074
848	6001	1067
849	6006	1060
850	6015	1053
851	6024	1046
852	6032	1039
853	6036	1032
854	6046	1025
855	6055	1018
856	6061	1011
857	6066	1004
858	6076	997
859	6084	990
860	6091	983
861	6096	975
862	6106	969
863	6116	962
864	6121	955
865	6126	947
866	6137	941
867	6144	934
868	6150	927
869	6155	919
870	6165	913
871	6173	906
872	6180	899
873	6185	891
874	6193	884
875	6203	878
876	6209	870
877	6214	863
878	6225	857
879	6234	850
880	6239	842
881	6245	835
882	6254	828
883	6264	822
884	6271	814
885	6276	807
886	6287	800
887	6295	794
888	6300	786
889	6305	779
890	6316	772
891	6325	765
892	6332	758
893	6338	751
894	6347	744
895	6355	737
896	6361	730
897	6366	723
898	6375	716
899	6383	709
900	6390	702
901	6395	694
902	6404	687
903	6412	680
904	6420	673
905	6424	666
906	6435	659
907	6441	652
908	6447	645
909	6451	638
910	6458	630
911	6468	624
912	6473	616
913	6480	609
914	6486	602
915	6493	595
916	6501	588
917	6505	581
918	6510	573
919	6518	566
920	6527	559
921	6533	552
922	6538	545
923	6542	538
924	6552	531
925	6560	524
926	6565	517
927	6570	509
928	6580	502
929	6586	495
930	6593	488
931	6598	481
932	6605	474
933	6615	467
934	6621	460
935	6626	453
936	6631	445
937	6640	438
938	6649	431
939	6654	424
940	6659	417
941	6669	410
942	6678	403
943	6683	396
944	6688	389
945	6696	382
946	6705	375
947	6711	368
948	6715	360
949	6720	353
950	6728	346
951	6736	339
952	6741	332
953	6745	325
954	6753	318
955	6762	311
956	6769	304
957	6774	296
958	6778	289
959	6788	282
960	6795	275
961	6800	268
962	6804	261
963	6812	254
964	6822	247
965	6828	240
966	6833	233
967	6838	226
968	6847	219
969	6856	212
970	6861	204
971	6866	197
972	6875	190
973	6883	183
974	6889	176
975	6895	169
976	6905	162
977	6913	155
978	6918	148
979	6924	141
980	6933	134
981	6942	127
982	6948	120
983	6953	113
984	6960	105
985	6969	98
986	6977	91
987	6982	84
988	6993	77
989	7001	70
990	7007	63
991	7012	56
992	7022	49
993	7030	42
994	7036	35
995	7040	28
996	7047	21
997	7057	14
998	7066	7
999	7070	0
